"Driver","Year","GP","Pitlane"
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"RIC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"LEC",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"VET",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
"KVY",2020,"Sakhir",0
